tract,pop,p_dem,p_rep,G18USSDSIN,G18GOVDGAR,G18SOSDHOB,G18ATGDCON,G18TREDMAN,G18SPIDHOF,G18MNIDPIE,G20PREDBID,G20USSDKEL,G18USSRMCS,G18GOVRDUC,G18SOSRGAY,G18ATGRBRN,G18TRERYEE,G18SPIRRIG,G18MNIRHAR,G20PRERTRU,G20USSRMCS
4013106703,2234,484.79139185886146,256.0010924036978,468.37950104461106,402.7624431608701,462.8885338576871,436.5318913604523,407.15521691040925,453.5538896399164,423.07902175248864,651.2287083691779,657.5433206341404,217.71684896153374,277.01929458031213,230.89517021015118,255.32997419196266,272.3519724714268,221.2859776330343,241.32800786530663,292.9430994223915,295.1394862971611
4013106801,4785,474.5104451579657,226.60165695484997,439.86264716375314,378.9760970388869,443.2768462361755,419.3774527292187,397.18515875847305,430.18908312522296,415.96325365679627,668.0449518373172,677.7185158758473,178.67641812343916,240.70103460577954,184.9357830895469,208.83517659650374,223.6300392436675,188.3499821619693,189.48804851944345,315.24438102033537,309.55404923296464
4013106802,3569,720.8888888888889,339.1111111111111,674.0,569.0,677.0,623.0,611.0,656.0,622.0,1014.0,1042.0,277.0,384.0,300.0,338.0,343.0,302.0,308.0,411.0,389.0
4013106900,7793,948.3784437309232,462.9538986007056,882.1373528362469,764.0239029611131,891.7231537638245,844.6225472707813,802.8148412415269,867.810916874777,845.0367463432037,1300.955048162683,1336.2814841241527,364.3235818765608,483.2989653942205,391.06421691045307,425.16482340349626,459.3699607563325,397.6500178380307,394.51195148055655,639.7556189796646,611.4459507670354
4013107001,4391,604.2922552615834,326.07792866619843,588.5852259424022,483.71938656052447,566.4811519550457,542.3208850386326,515.5903769608991,568.023296651838,529.983727464294,810.6540622804964,833.2721845001171,253.42577850620464,360.34781081713885,282.72652774525875,302.7744088035589,325.3925310231796,273.9877077967689,288.3810583001639,432.3145633341138,415.3509716693983
4013107002,4151,571.2633002939723,308.25540466713494,556.4147740575977,457.28061343947553,535.5188480449543,512.6791149613673,487.40962303910095,536.976703348162,501.0162725357059,766.3459377195036,787.7278154998829,239.57422149379536,340.65218918286115,267.27347225474125,286.22559119644114,307.6074689768204,259.0122922032311,272.6189416998361,408.6854366658862,392.6490283306017
4013107101,4505,520.2599237079103,222.9823825503356,484.6305498193082,421.25354930304593,478.5254259163655,457.01213216313886,445.0926045431079,478.5254259163655,460.50077439339185,713.7180562725865,743.0807950438823,177.33931337119256,242.1699148167269,191.29388229220444,206.41133195663397,220.07518069179145,186.6423593185338,188.0959602478059,308.7448373773877,286.06866288074343
4013107102,5963,688.6370532897379,295.1484899328859,641.4765745998967,557.5882163138874,633.3955859576665,604.919721218379,589.1425529168818,633.3955859576665,609.5374290139391,944.7060531750129,983.5717604543108,234.73347960764067,320.5458828084667,253.20431078988128,273.2143779039752,291.30040010325246,247.04736706246774,248.97141197728445,408.6671399070728,378.65203923593185
4013107201,8139,374.0111646661801,166.4087309839582,364.897527554364,295.3134143805397,340.6190082757436,326.18390264700145,313.15499896824196,345.0081890277146,318.39118003415643,523.6362125405577,538.8960485673016,139.69634677348776,169.72656403684783,134.31186072149197,148.32346619326233,155.81284952310295,126.9174312515908,142.72386540735977,245.36192226566044,234.8042726828199
4013107202,5180,427.94385469634597,191.61319114669195,414.6311190547115,350.16548543079983,397.12262612004633,381.475614779272,366.09452938048213,393.84813109938307,370.4649415029303,581.9104064645063,595.7818384349822,154.14120659757768,203.52137559178885,163.26355383515585,175.08811160437443,187.3693568119184,160.657983305057,169.44175866174956,258.870030867097,252.16534304550896
