0,1,2,3,4
582,40134201163023,1,7,96.0
583,40134201163024,1,7,96.0
584,40159534062061,2,6,96.0
585,40210008021053,7,5,96.0
586,40190046491003,7,4,96.0
589,40131130001014,5,8,96.0
590,40131131002003,8,5,96.0
591,40131131002002,8,5,96.0
592,40136118001009,2,9,96.0
593,40131131002013,8,5,96.0
594,40131118003002,8,5,96.0
595,40134202023024,3,1,96.0
596,40134202023029,3,1,96.0
597,40190040811007,4,7,96.0
598,40190040811006,4,7,96.0
599,40190040811005,4,7,96.0
600,40190040811004,4,7,96.0
601,40130506203017,6,8,96.0
602,40131133014020,3,5,96.0
603,40136147001062,3,9,96.0
604,40190044182000,7,4,96.0
607,40134207081024,1,3,96.0
609,40131166171020,8,5,96.0
610,40133190022053,3,5,96.0
611,40210019001098,6,7,96.0
612,40210019001103,6,7,96.0
613,40210019001099,6,7,96.0
614,40138153002025,1,5,96.0
616,40190004022000,4,7,96.0
617,40190046141005,4,7,96.0
618,40190040442038,7,4,96.0
619,40190045152022,4,7,96.0
621,40130405413061,2,6,96.0
623,40136174003020,9,8,96.0
627,40131167361017,8,5,96.0
628,40210008023114,7,6,96.0
629,40190004021016,7,4,96.0
630,40131071011012,9,8,96.0
631,40134202143035,3,1,96.0
633,40190008001001,4,7,96.0
635,40131118003000,8,5,96.0
636,40131162033021,8,5,96.0
637,40131167272019,5,6,96.0
638,40190004021004,7,4,96.0
639,40190040522061,7,4,96.0
640,40250016051014,7,2,96.0
642,40130405165000,6,2,82.0
643,40131051011017,9,3,82.0
644,40136114002008,9,2,82.0
645,40134202143020,3,1,82.0
646,40219412002036,5,6,82.0
647,40190044231012,4,6,82.0
649,40136138001004,9,2,82.0
650,40136138001003,9,2,82.0
651,40136136021000,9,2,82.0
652,40210003191047,5,7,82.0
653,40131159001000,8,5,82.0
654,40131159001004,8,5,82.0
655,40131117002026,5,3,82.0
656,40130610573015,8,6,82.0
657,40131051012009,3,9,82.0
658,40130715034018,9,8,82.0
659,40130405121018,8,2,82.0
660,40131107012000,5,3,82.0
662,40131167312018,5,6,82.0
663,40133198021008,5,1,82.0
664,40131138003004,5,3,82.0
665,40136107004002,2,7,82.0
666,40136107002008,7,2,82.0
668,40131138004015,3,5,82.0
669,40131132042010,3,5,82.0
670,40134201041010,1,3,82.0
671,40130612004000,8,6,82.0
672,40136123011013,3,2,82.0
673,40136123011018,3,2,82.0
