0,1,2,3,4
699,40190045122019,4,2,238.0
701,40190012002018,4,2,238.0
702,40190008001021,4,2,238.0
703,40190054003000,4,2,238.0
704,40190043272000,4,2,238.0
706,40130822111011,5,9,238.0
708,40131158021006,5,9,238.0
710,40136107001053,8,7,238.0
711,40130506191012,5,9,238.0
712,40135231023001,1,5,238.0
715,40130610572007,9,5,238.0
716,40130506123013,5,9,238.0
717,40190044371017,2,1,238.0
718,40190044371007,2,1,238.0
719,40190044371016,2,1,238.0
720,40190044371005,2,1,238.0
721,40190008001014,4,2,238.0
724,40136169003000,7,6,238.0
725,40130820102000,5,9,238.0
727,40138106001018,5,3,238.0
728,40133199054001,3,5,238.0
729,40133199054003,3,5,238.0
731,40133187001000,9,3,238.0
732,40130820083001,5,9,238.0
733,40130820083002,5,9,238.0
738,40130405411001,2,8,238.0
739,40130405382045,7,2,238.0
740,40131074011002,9,6,238.0
742,40138116003004,3,5,238.0
747,40138154011005,1,3,238.0
750,40134208004023,6,3,238.0
751,40131042061013,9,6,238.0
752,40136124021011,7,6,238.0
753,40136124022036,7,6,238.0
754,40136124011010,7,6,238.0
755,40130506203024,7,2,238.0
756,40131041002000,7,6,238.0
757,40131041002011,7,6,238.0
759,40130506123054,5,9,238.0
761,40210014064012,1,2,238.0
762,40210014064014,1,2,238.0
763,40130927203009,7,9,238.0
766,40130506193054,9,5,238.0
767,40130506193052,9,5,238.0
768,40131057011022,6,9,238.0
769,40130820263016,5,9,238.0
770,40136125002004,8,6,238.0
772,40159548021335,8,2,238.0
773,40190054002014,2,4,238.0
774,40136125001031,6,7,233.0
775,40132182003013,9,6,233.0
776,40133184001003,6,9,233.0
777,40134205042019,3,6,233.0
778,40130820192013,5,9,233.0
779,40130405393033,8,2,233.0
780,40131152001013,5,9,233.0
782,40136107001055,7,8,233.0
783,40136149002023,7,6,233.0
785,40219413001001,5,1,231.0
786,40219413001002,5,1,231.0
788,40138148012017,3,1,231.0
789,40131111001024,9,6,231.0
790,40131111001028,6,9,231.0
792,40210021061056,2,1,231.0
793,40210021061061,2,1,231.0
794,40250014034178,8,2,231.0
795,40132174004017,6,9,231.0
798,40159548024345,2,8,231.0
799,40190044131004,2,4,231.0
800,40190046252005,1,4,231.0
801,40190046252006,4,1,231.0
802,40159548021353,2,8,231.0
803,40131075002006,6,9,231.0
804,40131074011014,9,6,231.0
805,40136124022023,7,6,231.0
806,40136124022000,8,7,231.0
808,40130101032038,8,6,231.0
809,40130101021119,6,8,231.0
810,40133188004000,9,3,231.0
811,40133201001028,9,3,231.0
812,40133188004002,9,3,231.0
813,40138174002025,5,1,231.0
814,40138174001028,5,1,231.0
815,40210022003001,1,8,231.0
816,40138151002012,1,3,231.0
817,40138155011005,1,3,231.0
818,40138155011011,1,3,231.0
819,40210003201001,3,1,231.0
821,40131083012003,6,9,231.0
822,40130820101001,9,5,231.0
823,40210013101032,1,2,231.0
824,40131121002003,9,5,231.0
825,40199800021033,2,4,231.0
826,40190024003008,4,2,231.0
827,40190044262000,2,1,231.0
828,40190003002041,4,2,231.0
829,40190003002043,4,2,231.0
831,40130506121034,5,9,231.0
832,40131084004005,6,9,231.0
834,40131042062000,9,6,231.0
835,40131042063000,9,6,231.0
836,40131042061008,6,9,231.0
837,40131068021015,9,6,231.0
838,40133191032005,6,3,231.0
839,40210014064000,1,2,231.0
840,40130405393028,2,8,231.0
841,40130405393029,8,2,231.0
842,40131074011003,9,6,231.0
843,40138148011035,1,3,231.0
844,40138148022000,1,3,231.0
845,40131121002007,9,5,231.0
846,40131121001028,5,9,231.0
847,40131042122001,6,7,230.0
848,40131042122000,6,7,230.0
849,40131042122002,6,7,230.0
850,40210015001018,2,1,230.0
851,40130506193055,5,9,230.0
853,40130506193047,9,5,230.0
854,40134211022003,3,6,230.0
855,40133197101000,9,3,230.0
856,40130820123010,5,9,230.0
857,40130820123015,5,9,230.0
858,40131092003010,5,9,230.0
859,40130304011057,6,8,230.0
860,40131036051004,6,7,230.0
861,40137233041210,2,5,230.0
863,40159548024341,2,8,230.0
864,40159548024344,2,8,230.0
865,40131036141002,6,7,230.0
866,40130405021013,2,8,217.0
868,40130405411002,2,8,213.0
869,40133197101043,5,3,213.0
870,40210003212031,1,3,213.0
871,40131143021029,9,5,213.0
872,40131143021022,9,5,213.0
873,40131096033001,5,9,213.0
874,40190045132016,4,2,213.0
875,40190045123016,2,4,213.0
876,40190045123015,2,4,213.0
877,40190045123014,2,4,213.0
880,40190044371006,2,1,213.0
881,40190044371015,2,1,213.0
882,40159548021111,8,2,213.0
883,40131149003005,9,5,213.0
885,40133198012005,3,5,213.0
886,40210017142000,5,2,213.0
887,40131111003001,9,6,213.0
888,40130405392042,7,8,213.0
889,40130405392003,7,8,213.0
890,40130927202000,5,9,213.0
891,40130927131001,5,9,213.0
892,40130927131004,5,9,213.0
894,40131124012016,9,5,213.0
895,40130405371008,8,7,213.0
896,40136149002009,7,6,213.0
898,40131084004023,9,6,210.0
899,40131085024001,9,6,210.0
900,40136107001043,8,7,210.0
901,40131148001025,9,5,210.0
904,40138101001019,5,3,210.0
905,40133197091010,5,3,210.0
906,40133197091011,5,3,210.0
908,40131060021003,6,9,210.0
911,40131100012001,9,5,210.0
912,40130506132011,9,5,210.0
913,40130610572004,9,5,210.0
914,40130610572040,9,5,210.0
915,40210014064021,1,2,210.0
916,40131041003012,6,7,210.0
920,40210019002130,1,2,210.0
921,40210019002131,1,2,210.0
925,40131125191000,5,9,210.0
926,40134205042032,3,6,210.0
927,40130405362001,8,7,210.0
928,40131097023008,5,9,210.0
929,40131097023009,9,5,210.0
932,40190043303002,4,2,200.0
936,40159548024421,2,8,200.0
937,40159548024373,2,8,200.0
938,40159548024393,2,8,200.0
939,40130506203025,2,7,200.0
941,40130822111009,5,9,200.0
942,40138119001000,1,5,200.0
943,40210003211010,3,1,200.0
944,40130506122068,9,5,200.0
945,40130506122067,9,5,200.0
946,40130506093003,9,5,200.0
947,40137233061118,5,2,200.0
948,40131125232006,5,9,200.0
949,40131125232005,5,9,200.0
950,40133187001003,9,3,200.0
951,40130101022056,8,6,188.0
952,40130101022055,6,8,188.0
953,40210008021219,2,1,188.0
954,40210003201017,1,3,188.0
955,40210003201016,1,3,188.0
959,40131121003011,9,5,188.0
960,40130506121026,5,9,188.0
961,40130506121020,5,9,188.0
962,40131036123003,7,6,188.0
963,40131036123005,7,6,188.0
964,40138105003012,3,5,188.0
965,40138105001001,3,5,188.0
967,40131088021002,9,6,188.0
968,40130506133002,9,5,188.0
969,40130820101009,9,5,188.0
970,40210023001019,1,8,188.0
971,40130820161004,9,5,188.0
974,40131093003003,9,5,188.0
976,40130610572009,9,5,188.0
977,40131123013008,5,9,188.0
979,40131122012008,9,5,188.0
980,40130820072001,5,9,188.0
981,40131154002015,9,5,188.0
982,40138119002006,5,1,188.0
983,40136169001000,7,6,188.0
984,40190037061013,2,4,188.0
985,40190043272027,4,2,188.0
987,40159548024375,2,8,188.0
988,40135230053012,3,5,188.0
989,40135230053011,3,5,188.0
990,40135230053013,3,5,188.0
991,40135230082009,5,3,188.0
993,40130101031010,8,6,188.0
994,40136100022059,8,7,188.0
995,40210008021241,1,2,188.0
996,40131152002017,3,5,188.0
997,40210016003003,5,2,188.0
999,40130405383024,8,7,188.0
1000,40250014034167,2,8,188.0
1001,40130405151002,8,2,188.0
1002,40133187002018,9,3,188.0
1003,40130405394067,2,8,188.0
1004,40130405392039,8,2,188.0
1005,40131096011025,5,9,188.0
1006,40131096011023,5,9,188.0
1007,40131144021000,5,9,188.0
1009,40133198011005,3,5,188.0
1011,40133184003016,6,9,188.0
1012,40131121002001,9,5,188.0
1013,40190022022004,4,2,188.0
1014,40190022021028,4,2,188.0
1016,40131088021001,9,6,188.0
1017,40210003202014,1,3,188.0
1019,40133197051005,5,3,188.0
1020,40134206042029,3,6,188.0
1021,40131042122009,6,7,188.0
1022,40130304023076,8,6,188.0
1023,40130304023071,8,6,188.0
1024,40136126002014,7,6,188.0
1025,40134210011015,6,3,188.0
1026,40134214004001,6,3,188.0
1027,40135231042015,5,1,188.0
1029,40131041001000,6,7,188.0
1030,40130927161003,5,9,188.0
1031,40210016003077,1,2,188.0
1032,40210016003076,1,2,188.0
1033,40159548024012,2,8,188.0
1036,40190046141010,4,1,188.0
1037,40190046141011,4,1,188.0
1038,40190044313025,2,1,188.0
1039,40190044371001,2,1,188.0
1040,40190044371008,2,1,188.0
1041,40190043263001,4,2,188.0
1044,40131121001025,9,5,188.0
1045,40130719104001,9,7,188.0
1046,40130405382002,7,2,188.0
1047,40130405382005,7,2,188.0
1049,40130820083000,5,9,188.0
1050,40130506123049,9,5,184.0
1051,40133199103003,5,3,184.0
1052,40137233061002,5,2,184.0
1053,40137233041276,5,2,184.0
1054,40137233061003,5,2,184.0
1055,40132174002001,9,6,184.0
1056,40134213025001,3,6,184.0
1057,40131042223011,7,9,182.0
1058,40130506094028,9,5,182.0
1059,40130610573014,9,5,182.0
1060,40159514014028,2,8,179.0
1061,40190001002000,2,4,179.0
1062,40131057011004,9,6,179.0
1063,40131096033000,5,9,179.0
1068,40210003213007,1,3,179.0
1069,40131060032003,9,6,179.0
1070,40130405411004,2,8,179.0
1071,40138119004002,1,5,179.0
1074,40210019002132,2,1,179.0
1075,40190044313023,1,2,179.0
1076,40190044371036,1,2,179.0
1078,40130506203081,2,5,179.0
1079,40132180003010,6,9,179.0
1080,40131057011024,9,6,179.0
